model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,sampled_inside_volume
ALP-SU2L,0.3,3.0,3.0,9.078213333333322e-08,430512.89776207134,True,,,430512.89776207134,0.0,122237
ALP-SU2L,0.3,5.1,3.0,5.340125490196072e-08,154825.96479412107,True,,,154825.96479412107,0.0,122319
ALP-SU2L,0.3,8.67,3.0,3.14125028835063e-08,54820.19699432996,True,,,54820.19699432996,0.0,122377
ALP-SU2L,0.3,14.738999999999999,3.0,1.847794287265077e-08,19228.753709349552,True,,,19228.753709349552,0.0,122406
ALP-SU2L,0.3,25.056299999999997,3.0,1.0869378160382806e-08,6708.217506201401,True,,,6708.217506201401,0.0,122426
ALP-SU2L,0.3,42.59570999999999,3.0,6.39375185904871e-09,2332.40587822473,True,,,2332.40587822473,0.0,122432
ALP-SU2L,0.3,72.41270699999998,3.0,3.761030505322771e-09,809.4075006376956,True,,,809.4075006376956,0.0,122436
ALP-SU2L,0.3,123.10160189999996,3.0,2.212370885483983e-09,280.5632769648672,True,,,280.5632769648672,0.0,122441
ALP-SU2L,0.3,209.27272322999994,3.0,1.30139463851999e-09,97.1808144115438,True,,,97.1808144115438,0.0,122444
ALP-SU2L,0.3,355.7636294909999,3.0,7.655262579529352e-10,33.64674251699008,True,,,33.64674251699008,0.0,122444
ALP-SU2L,0.3,604.7981701346998,3.0,4.503095635017266e-10,11.646593733182316,True,,,11.646593733182316,0.0,122444
ALP-SU2L,0.3,644.0345406729224,3.0,4.228754558962588e-10,10.271052430492544,True,,,10.271052430492544,0.0,122444
ALP-SU2L,0.3,649.1147777132595,3.0,4.1956586007706976e-10,10.110948316164444,True,,,10.110948316164444,0.0,122444
ALP-SU2L,0.3,651.6699041500076,3.0,4.1792078821750896e-10,10.031834477860999,True,,,10.031834477860999,0.0,122444
ALP-SU2L,0.3,652.3102557476692,3.0,4.175105290776701e-10,10.012152920555344,True,,,10.012152920555344,0.0,122444
ALP-SU2L,0.3,652.6306674690715,3.0,4.17305550559201e-10,10.002326624989953,True,,,10.002326624989953,0.0,122444
ALP-SU2L,0.3,652.6707299987753,3.0,4.1727993532130776e-10,10.001099016245066,True,,,10.001099016245066,0.0,122444
ALP-SU2L,0.3,652.6907621858505,3.0,4.172671282919895e-10,10.000485268367386,True,,,10.000485268367386,0.0,122444
ALP-SU2L,0.3,652.7007785099522,3.0,4.1726072492473214e-10,10.000178408551232,True,,,10.000178408551232,0.0,122444
ALP-SU2L,0.3,652.7107949877663,3.0,4.172543216557407e-10,9.999871558149815,False,,,9.999871558149815,0.0,122444
